userId,first_name,last_name,email,mobilePlanId,name,description,price,data_limit,call_minutes,sms_count,orderId,user_id,mobile_plan_id,created_at,paymentId,order_id,amount,created_at,method,status,subscriptionId,user_id,plan_id,start_date,end_date,status
1,Alice,Smith,alice.smith1@example.com,1,Plan1,Description for Plan1,77,6,141,71,1,44,924,2024-08-18 15:08:42,1,42,435.08,2024-10-21 03:55:03,BANK_TRANSFER,COMPLETED,1,435,79,2024-05-06,2024-05-29,CANCELLED
2,Bob,Johnson,bob.johnson2@example.com,2,Plan2,Description for Plan2,139,1,266,89,2,639,863,2025-01-15 10:43:42,2,85,104.83,2025-01-05 05:39:07,BANK_TRANSFER,COMPLETED,2,724,365,2024-08-23,2024-09-10,CANCELLED
3,Jane,Brown,jane.brown3@example.com,3,Plan3,Description for Plan3,138,6,183,91,3,666,580,2024-08-17 20:05:10,3,757,183.07,2024-07-04 11:42:58,PAYPAL,PENDING,3,305,213,2024-09-09,2024-09-10,ACTIVE
4,Jane,Brown,jane.brown4@example.com,4,Plan4,Description for Plan4,73,2,102,57,4,611,805,2025-03-17 10:56:14,4,148,157.70,2024-09-26 16:01:12,BANK_TRANSFER,FAILED,4,863,671,2024-09-20,2024-10-17,CANCELLED
5,Bob,Doe,bob.doe5@example.com,5,Plan5,Description for Plan5,117,9,257,72,5,268,499,2024-10-01 06:46:34,5,334,382.03,2024-09-28 14:00:23,CREDIT_CARD,REFUNDED,5,348,356,2024-05-19,2024-06-02,ACTIVE
6,Jane,Johnson,jane.johnson6@example.com,6,Plan6,Description for Plan6,60,4,230,86,6,817,744,2024-06-22 12:36:52,6,360,104.90,2024-08-02 12:37:36,BANK_TRANSFER,PENDING,6,589,852,2025-02-23,2025-02-26,ACTIVE
7,Alice,Doe,alice.doe7@example.com,7,Plan7,Description for Plan7,61,1,390,81,7,516,540,2025-02-25 23:41:48,7,6,214.69,2024-06-06 11:47:16,BANK_TRANSFER,FAILED,7,869,204,2024-06-20,2024-07-12,EXPIRED
8,John,Doe,john.doe8@example.com,8,Plan8,Description for Plan8,116,1,142,95,8,362,374,2024-05-08 01:49:04,8,187,126.39,2024-09-12 07:16:21,PAYPAL,PENDING,8,88,356,2025-03-02,2025-03-06,EXPIRED
9,John,Johnson,john.johnson9@example.com,9,Plan9,Description for Plan9,95,10,322,52,9,29,977,2024-04-19 16:35:46,9,558,216.35,2024-11-17 12:20:32,CREDIT_CARD,COMPLETED,9,779,273,2024-10-13,2024-11-12,ACTIVE
10,John,Johnson,john.johnson10@example.com,10,Plan10,Description for Plan10,116,6,349,81,10,545,888,2025-01-16 06:14:47,10,43,129.35,2024-08-09 03:33:13,BANK_TRANSFER,COMPLETED,10,591,318,2024-11-10,2024-11-19,CANCELLED
